OV 18*13:  a:0.007262164124909233  b:4.368191721132886  u_a:0  u_b:0  
OV 16*12:  a:0.0077373653925211575  b:3.953103673789171  u_a:0.002943821520272934  u_b:3.3194690236084616  
ROUGH 15~30:  a:0.012225401799709374  b:-1.0427519850015594  u_a:0.00015632356316044193  u_b:0.8416981055535785  
OV 12*10:  a:0.012233007458932599  b:-1.099175803883467  u_a:0.00013047280409147127  u_b:0.6522660571028631  
PF-OV 10*8~16*12:  a:0.01217422985248554  b:-0.6627581919275997  u_a:9.36047634289847e-05  u_b:0.37762592627712  
OV 10*8:  a:0.012239457159920407  b:-1.1504294771610222  u_a:0.00010194741824127929  u_b:0.36778831361542363  
PS 10*7:  a:0.012253902393407281  b:-1.2570137868323634  u_a:9.672686776354808e-05  u_b:0.3282044952137542  
ROUGH 9~15:  a:0.009102183235794073  b:5.246722451332352  u_a:0.001790476526154845  u_b:6.1862134408277765  
OT 9*7:  a:0.009133856580307825  b:5.0272411360805735  u_a:0.0017369698885437582  u_b:5.8806169891959215  
PS 9*6:  a:0.009250196579066026  b:4.197816856232674  u_a:0.001529353231206735  u_b:4.742194754432699  
PS 7*5:  a:0.009291061583793942  b:3.916167751792873  u_a:0.001464068499146381  u_b:4.402218516660594  
OV 7*5:  a:0.009375020415855981  b:3.1332810983602144  u_a:0.0012110658254820606  u_b:3.202721571548042  
ROUGH 6~9 :  a:0.010154737630712691  b:2.1933808728753776  u_a:0.0010086438271992482  u_b:3.080314415992746  
ROUGH 6~9:  a:0.010211986668203218  b:2.139012338001384  u_a:0.000880666825170058  u_b:2.796235704752593  
OV 5*3:  a:0.01022280471066523  b:2.038368084930659  u_a:0.0008606328305498586  u_b:2.688244325637552  
ROUGH 3~6:  a:0.009679050566109666  b:2.7977392932209892  u_a:0.0007660486151125663  u_b:2.809573770349929  
