,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,B1_01/16_1,0 -- 17,RC,RG,2~3,1201.6,6008.0,RG6175,,
1,,,,,,,,,,
2,B1_01/16_2,17 -- 30,RC,RG,2~3,1004.3,5021.5,RG6175,,
3,,,,,,,,,,
4,B1_01/16_3,30 -- 42,RC,RG,2~3,1001.7,5008.5,RG6175,,
5,,,,,,,,,,
6,B1_01/16_4,42 -- 55,RC,RG,2~3,1002.5,5012.5,RG6175,,
7,,,,,,,,Ni - 42,,
8,B1_01/16_5,55 -- 67,RC,RG,2~3,1006.7,5033.5,RG6175,,
9,,,,,,,,,,
10,B1_01/16_6,67 -- 80,RC,RG,2~3,999.6,4998.0,RG6175,,
11,,,,,,,,,,
12,B1_01/16_7,80 -- 96,RC,RG,2~3,1208.5,6042.5,RG6175,,
13,,,,,,,,,,
14,,,,,TOTAL,7424.9,37124.5,,,
0,B1_10/15_1,0 -- 16,RC,RG,1~2,1140.5,5702.5,RG22117,,
1,,,,,,,,Ni - 0,,
2,B1_10/15_2,16 -- 27,SC,MX,MX,933.3,4666.5,CUT30061,,
3,,,,,,,,Ni - 16,,
4,B1_10/15_3,27 -- 37,RC-GD,MX,10*8,997.8,4989.0,CUT30051,,
5,,,,,,,,Ni - 27,,
6,B1_10/15_4,37 -- 49,SC,MX,MX,897.0,4485.0,CUT30058,,
7,,,,,,,,Ni - 37,,
8,B1_10/15_5,49 -- 63,RC-GD,MX,MX,1217.1,6085.5,CUT30057,,
9,,,,,,,,Ni - 49,,
10,B1_10/15_6,63 -- 73,SC,MX,11*9,863.1,4315.5,CUT30056,,
11,,,,,,,,Ni - 63,,
12,B1_10/15_7,73 -- 79,SC,PS,FREE,514.1,2570.5,CUT14699,,
13,,,,,,,,Ni - 73,,
14,B1_10/15_8,79 -- 96,RC,RG,1~2,1140.4,5702.0,RG22118,,
15,,,,,,,,Ni - 79,,
16,,,,,,,,,,
17,,,,,TOTAL,7703.3,38516.5,,,
0,D1_10/15_1,0 -- 16,RC,RG,8~9,1078.8,5394.0,RG22114,,
1,,,,,,,,Ni - 0,,
2,D1_10/15_2,16 -- 29,RC,OV,11*9,1237.9,6189.5,CUT14751,,
3,,,,,,,,Ni - 16,,
4,D1_10/15_3,29 -- 36,RC,TR,9,529.3,2646.5,CUT14770,,
